Player1,Player2,Shared Seasons
Clayton Kershaw,Austin Barnes,10
Clayton Kershaw,Chris Taylor,9
Clayton Kershaw,Julio Urias,8
Clayton Kershaw,Justin Turner,8
Clayton Kershaw,Kike Hernandez,8
Clayton Kershaw,Corey Seager,7
Clayton Kershaw,Kenley Jansen,7
Clayton Kershaw,Max Muncy,7
Clayton Kershaw,Walker Buehler,7
Clayton Kershaw,Cody Bellinger,6
Clayton Kershaw,Joc Pederson,6
Clayton Kershaw,Pedro Baez,6
Clayton Kershaw,Will Smith,6
Clayton Kershaw,Alex Wood,5
Clayton Kershaw,Brusdar Graterol,5
Clayton Kershaw,Caleb Ferguson,5
Clayton Kershaw,Dustin May,5
Clayton Kershaw,Gavin Lux,5
Clayton Kershaw,Joe Kelly,5
Clayton Kershaw,Mookie Betts,5
Clayton Kershaw,Ross Stripling,5
Clayton Kershaw,Tony Gonsolin,5
Clayton Kershaw,Adam Liberatore,4
Clayton Kershaw,Alex Vesia,4
Clayton Kershaw,Blake Treinen,4
Clayton Kershaw,Brock Stewart,4
Clayton Kershaw,Chase Utley,4
Clayton Kershaw,Daniel Hudson,4
Clayton Kershaw,Dennis Santana,4
Clayton Kershaw,Edwin Rios,4
Clayton Kershaw,Evan Phillips,4
Clayton Kershaw,Hyun Jin Ryu,4
Clayton Kershaw,Kenta Maeda,4
Clayton Kershaw,Rich Hill,4
Clayton Kershaw,Scott Alexander,4
Clayton Kershaw,Trayce Thompson,4
Clayton Kershaw,Yasiel Puig,4
Clayton Kershaw,Yasmani Grandal,4
Clayton Kershaw,Yimi Garcia,4
Clayton Kershaw,AJ Pollock,3
Clayton Kershaw,Adam Kolarek,3
Clayton Kershaw,Adrian Gonzalez,3
Clayton Kershaw,Alex Verdugo,3
Clayton Kershaw,Andre Ethier,3
Clayton Kershaw,Andre Jackson,3
Clayton Kershaw,Andrew Toles,3
Clayton Kershaw,Brandon McCarthy,3
Clayton Kershaw,Chris Hatcher,3
Clayton Kershaw,Dylan Floro,3
Clayton Kershaw,Freddie Freeman,3
Clayton Kershaw,Jake Reed,3
Clayton Kershaw,James Outman,3
Clayton Kershaw,Josh Fields,3
Clayton Kershaw,Josh Ravin,3
Clayton Kershaw,Justin Bruihl,3
Clayton Kershaw,Luis Avilan,3
Clayton Kershaw,Matt Beaty,3
Clayton Kershaw,Michael Grove,3
Clayton Kershaw,Miguel Vargas,3
Clayton Kershaw,Mitch White,3
Clayton Kershaw,Phil Bickford,3
Clayton Kershaw,Scott Van Slyke,3
Clayton Kershaw,Victor Gonzalez,3
Clayton Kershaw,Zach McKinstry,3
Clayton Kershaw,A.J. Ellis,2
Clayton Kershaw,Amed Rosario,2
Clayton Kershaw,Bobby Miller,2
Clayton Kershaw,Brett Anderson,2
Clayton Kershaw,Carl Crawford,2
Clayton Kershaw,Carlos Frias,2
Clayton Kershaw,Charlie Culberson,2
Clayton Kershaw,Chin-hui Tsao,2
Clayton Kershaw,David Freese,2
Clayton Kershaw,David Price,2
Clayton Kershaw,Edward Paredes,2
Clayton Kershaw,Garrett Cleavinger,2
Clayton Kershaw,Gavin Stone,2
Clayton Kershaw,Grant Dayton,2
Clayton Kershaw,Gus Varland,2
Clayton Kershaw,Howie Kendrick,2
Clayton Kershaw,J.P. Howell,2
Clayton Kershaw,JT Chargois,2
Clayton Kershaw,Jason Heyward,2
Clayton Kershaw,Josh Sborz,2
Clayton Kershaw,Keibert Ruiz,2
Clayton Kershaw,Kyle Farmer,2
Clayton Kershaw,Kyle Hurt,2
Clayton Kershaw,Logan Forsythe,2
Clayton Kershaw,Miguel Rojas,2
Clayton Kershaw,Mike Bolsinger,2
Clayton Kershaw,Rob Segedin,2
Clayton Kershaw,Rocky Gale,2
Clayton Kershaw,Ryan Brasier,2
Clayton Kershaw,Ryan Pepiot,2
Clayton Kershaw,Ryan Yarbrough,2
Clayton Kershaw,Shane Greene,2
Clayton Kershaw,Tim Locastro,2
Clayton Kershaw,Tony Cingrani,2
Clayton Kershaw,Trea Turner,2
Clayton Kershaw,Wilmer Font,2
Clayton Kershaw,Yency Almonte,2
Clayton Kershaw,Zac Rosscup,2
Clayton Kershaw,Albert Pujols,1
Clayton Kershaw,Alberto Callaspo,1
Clayton Kershaw,Alex Guerrero,1
Clayton Kershaw,Andrew Heaney,1
Clayton Kershaw,Andrew Vasquez,1
Clayton Kershaw,Andy Burns,1
Clayton Kershaw,Andy Pages,1
Clayton Kershaw,Anthony Banda,1
Clayton Kershaw,Austin Wynns,1
Clayton Kershaw,Ben Casparius,1
Clayton Kershaw,Billy McKinney,1
Clayton Kershaw,Brandon Beachy,1
Clayton Kershaw,Brandon Morrow,1
Clayton Kershaw,Brent Honeywell Jr.,1
Clayton Kershaw,Brett Eibner,1
Clayton Kershaw,Breyvic Valera,1
Clayton Kershaw,Brian Dozier,1
Clayton Kershaw,Bryan Hudson,1
Clayton Kershaw,Bud Norris,1
Clayton Kershaw,Carlos Ruiz,1
Clayton Kershaw,Casey Fien,1
Clayton Kershaw,Casey Sadler,1
Clayton Kershaw,Cavan Biggio,1
Clayton Kershaw,Chris Heisey,1
Clayton Kershaw,Chris Martin,1
Clayton Kershaw,Conner Greene,1
Clayton Kershaw,Connor Brogdon,1
Clayton Kershaw,Corey Knebel,1
Clayton Kershaw,Craig Kimbrel,1
Clayton Kershaw,Curtis Granderson,1
Clayton Kershaw,DJ Peters,1
Clayton Kershaw,Daniel Corcino,1
Clayton Kershaw,Danny Coulombe,1
Clayton Kershaw,Darien Nunez,1
Clayton Kershaw,Darwin Barney,1
Clayton Kershaw,David Huff,1
Clayton Kershaw,David Peralta,1
Clayton Kershaw,Dinelson Lamet,1
Clayton Kershaw,Dylan Covey,1
Clayton Kershaw,Eddy Alvarez,1
Clayton Kershaw,Edgardo Henriquez,1
Clayton Kershaw,Eduardo Salazar,1
Clayton Kershaw,Edwin Uceta,1
Clayton Kershaw,Elieser Hernandez,1
Clayton Kershaw,Emmet Sheehan,1
Clayton Kershaw,Eric Surkamp,1
Clayton Kershaw,Erik Goeddel,1
Clayton Kershaw,Fabio Castillo,1
Clayton Kershaw,Franklin Gutierrez,1
Clayton Kershaw,Hanser Alberto,1
Clayton Kershaw,Heath Hembree,1
Clayton Kershaw,Hunter Feduccia,1
Clayton Kershaw,Ian Thomas,1
Clayton Kershaw,J.D. Martinez,1
Clayton Kershaw,J.P. Feyereisen,1
Clayton Kershaw,Jack Flaherty,1
Clayton Kershaw,Jaime Schultz,1
Clayton Kershaw,Jake Lamb,1
Clayton Kershaw,Jake Marisnick,1
Clayton Kershaw,Jake McGee,1
Clayton Kershaw,James Paxton,1
Clayton Kershaw,James Sherfy,1
Clayton Kershaw,Jedd Gyorko,1
Clayton Kershaw,Jesse Chavez,1
Clayton Kershaw,Jim Johnson,1
Clayton Kershaw,Jimmy Nelson,1
Clayton Kershaw,Jimmy Rollins,1
Clayton Kershaw,Joe Blanton,1
Clayton Kershaw,Joe Wieland,1
Clayton Kershaw,Joel Peralta,1
Clayton Kershaw,Joey Gallo,1
Clayton Kershaw,John Axford,1
Clayton Kershaw,Jonny DeLuca,1
Clayton Kershaw,Jose De Leon,1
Clayton Kershaw,Jose Peraza,1
Clayton Kershaw,Josh Reddick,1
Clayton Kershaw,Josiah Gray,1
Clayton Kershaw,Juan Nicasio,1
Clayton Kershaw,Juan Uribe,1
Clayton Kershaw,Justin Ruggiano,1
Clayton Kershaw,Justin Wrobleski,1
Clayton Kershaw,Kevin Kiermaier,1
Clayton Kershaw,Kevin Pillar,1
Clayton Kershaw,Kevin Quackenbush,1
Clayton Kershaw,Kolten Wong,1
Clayton Kershaw,Kristopher Negron,1
Clayton Kershaw,Kyle Garlick,1
Clayton Kershaw,Lance Lynn,1
Clayton Kershaw,Landon Knack,1
Clayton Kershaw,Louis Coleman,1
Clayton Kershaw,Luke Raley,1
Clayton Kershaw,Luke Williams,1
Clayton Kershaw,Manny Machado,1
Clayton Kershaw,Mat Latos,1
Clayton Kershaw,Matt Kemp,1
Clayton Kershaw,Matt West,1
Clayton Kershaw,Max Scherzer,1
Clayton Kershaw,Micah Johnson,1
Clayton Kershaw,Michael Busch,1
Clayton Kershaw,Michael Kopech,1
Clayton Kershaw,Michael Petersen,1
Clayton Kershaw,Mike Freeman,1
Clayton Kershaw,Mike Kickham,1
Clayton Kershaw,Nabil Crismatt,1
Clayton Kershaw,Nate Jones,1
Clayton Kershaw,Neftali Feliz,1
Clayton Kershaw,Nick Ahmed,1
Clayton Kershaw,Nick Ramirez,1
Clayton Kershaw,Nick Robertson,1
Clayton Kershaw,Nick Tepesch,1
Clayton Kershaw,Noah Syndergaard,1
Clayton Kershaw,OKoyea Dickson,1
Clayton Kershaw,Paco Rodriguez,1
Clayton Kershaw,Pat Venditte,1
Clayton Kershaw,Reyes Moronta,1
Clayton Kershaw,Ricky Vanasco,1
Clayton Kershaw,River Ryan,1
Clayton Kershaw,Robbie Erlin,1
Clayton Kershaw,Ronald Torreyes,1
Clayton Kershaw,Russell Martin,1
Clayton Kershaw,Ryan Madson,1
Clayton Kershaw,Scott Baker,1
Clayton Kershaw,Scott Kazmir,1
Clayton Kershaw,Scott Schebler,1
Clayton Kershaw,Sergio Romo,1
Clayton Kershaw,Sergio Santos,1
Clayton Kershaw,Shelby Miller,1
Clayton Kershaw,Sheldon Neuse,1
Clayton Kershaw,Shohei Ohtani,1
Clayton Kershaw,Steven Souza Jr.,1
Clayton Kershaw,Tayler Scott,1
Clayton Kershaw,Taylor Trammell,1
Clayton Kershaw,Teoscar Hernandez,1
Clayton Kershaw,Terrance Gore,1
Clayton Kershaw,Tommy Edman,1
Clayton Kershaw,Tommy Kahnle,1
Clayton Kershaw,Tony Watson,1
Clayton Kershaw,Tony Wolters,1
Clayton Kershaw,Travis dArnaud,1
Clayton Kershaw,Trevor Bauer,1
Clayton Kershaw,Tyler Anderson,1
Clayton Kershaw,Tyler Cyr,1
Clayton Kershaw,Tyler Glasnow,1
Clayton Kershaw,Tyler White,1
Clayton Kershaw,Tyson Miller,1
Clayton Kershaw,Wander Suero,1
Clayton Kershaw,Will Venable,1
Clayton Kershaw,Yefry Ramirez,1
Clayton Kershaw,Yohan Ramirez,1
Clayton Kershaw,Yonny Hernandez,1
Clayton Kershaw,Yoshi Tsutsugo,1
Clayton Kershaw,Yoshinobu Yamamoto,1
Clayton Kershaw,Yu Darvish,1
Clayton Kershaw,Zach Lee,1
Clayton Kershaw,Zach Logue,1
Clayton Kershaw,Zach Neal,1
Clayton Kershaw,Zach Reks,1
Clayton Kershaw,Zach Walters,1
Clayton Kershaw,Zack Greinke,1
Cody Bellinger,Austin Barnes,6
Cody Bellinger,Chris Taylor,6
Cody Bellinger,Julio Urias,6
Cody Bellinger,Justin Turner,6
Cody Bellinger,Walker Buehler,6
Cody Bellinger,Corey Seager,5
Cody Bellinger,Kenley Jansen,5
Cody Bellinger,Max Muncy,5
Cody Bellinger,Caleb Ferguson,4
Cody Bellinger,Dennis Santana,4
Cody Bellinger,Dustin May,4
Cody Bellinger,Edwin Rios,4
Cody Bellinger,Gavin Lux,4
Cody Bellinger,Joc Pederson,4
Cody Bellinger,Kike Hernandez,4
Cody Bellinger,Pedro Baez,4
Cody Bellinger,Ross Stripling,4
Cody Bellinger,Scott Alexander,4
Cody Bellinger,Tony Gonsolin,4
Cody Bellinger,Will Smith,4
Cody Bellinger,AJ Pollock,3
Cody Bellinger,Alex Verdugo,3
Cody Bellinger,Alex Wood,3
Cody Bellinger,Blake Treinen,3
Cody Bellinger,Brock Stewart,3
Cody Bellinger,Brusdar Graterol,3
Cody Bellinger,Dylan Floro,3
Cody Bellinger,Hyun Jin Ryu,3
Cody Bellinger,Joe Kelly,3
Cody Bellinger,Kenta Maeda,3
Cody Bellinger,Matt Beaty,3
Cody Bellinger,Mitch White,3
Cody Bellinger,Mookie Betts,3
Cody Bellinger,Rich Hill,3
Cody Bellinger,Zach McKinstry,3
Cody Bellinger,Adam Kolarek,2
Cody Bellinger,Adam Liberatore,2
Cody Bellinger,Alex Vesia,2
Cody Bellinger,Andre Jackson,2
Cody Bellinger,Andrew Toles,2
Cody Bellinger,Chase Utley,2
Cody Bellinger,Daniel Hudson,2
Cody Bellinger,David Freese,2
Cody Bellinger,David Price,2
Cody Bellinger,Edward Paredes,2
Cody Bellinger,Evan Phillips,2
Cody Bellinger,Garrett Cleavinger,2
Cody Bellinger,JT Chargois,2
Cody Bellinger,Jake Reed,2
Cody Bellinger,Josh Fields,2
Cody Bellinger,Josh Sborz,2
Cody Bellinger,Justin Bruihl,2
Cody Bellinger,Keibert Ruiz,2
Cody Bellinger,Kyle Farmer,2
Cody Bellinger,Logan Forsythe,2
Cody Bellinger,Phil Bickford,2
Cody Bellinger,Rocky Gale,2
Cody Bellinger,Shane Greene,2
Cody Bellinger,Tim Locastro,2
Cody Bellinger,Tony Cingrani,2
Cody Bellinger,Trayce Thompson,2
Cody Bellinger,Trea Turner,2
Cody Bellinger,Victor Gonzalez,2
Cody Bellinger,Wilmer Font,2
Cody Bellinger,Yasiel Puig,2
Cody Bellinger,Yasmani Grandal,2
Cody Bellinger,Yimi Garcia,2
Cody Bellinger,Zac Rosscup,2
Cody Bellinger,Adrian Gonzalez,1
Cody Bellinger,Albert Pujols,1
Cody Bellinger,Andre Ethier,1
Cody Bellinger,Andrew Heaney,1
Cody Bellinger,Andrew Vasquez,1
Cody Bellinger,Andy Burns,1
Cody Bellinger,Billy McKinney,1
Cody Bellinger,Brandon McCarthy,1
Cody Bellinger,Brandon Morrow,1
Cody Bellinger,Brett Eibner,1
Cody Bellinger,Breyvic Valera,1
Cody Bellinger,Brian Dozier,1
Cody Bellinger,Casey Sadler,1
Cody Bellinger,Charlie Culberson,1
Cody Bellinger,Chris Hatcher,1
Cody Bellinger,Chris Martin,1
Cody Bellinger,Conner Greene,1
Cody Bellinger,Corey Knebel,1
Cody Bellinger,Craig Kimbrel,1
Cody Bellinger,Curtis Granderson,1
Cody Bellinger,DJ Peters,1
Cody Bellinger,Daniel Corcino,1
Cody Bellinger,Darien Nunez,1
Cody Bellinger,Eddy Alvarez,1
Cody Bellinger,Edwin Uceta,1
Cody Bellinger,Erik Goeddel,1
Cody Bellinger,Fabio Castillo,1
Cody Bellinger,Franklin Gutierrez,1
Cody Bellinger,Freddie Freeman,1
